행정구역별,생활밀접업종,대분류,중분류,년,분기,,트렌드지수,반응도,매출,전체점포수,프랜차이즈점포수,일반점포수,개업수,폐업수,개업률,폐업률,최근10년평균영업기간,최근30년평균영업기간
망원2동,외식업/한식음식점,외식업,한식음식점,2018,3,망원2동한식음식점20183,0.45,2.87,1363765380,98,7,91,4,8,4.1,8.2,2.3,4.2
망원1동,외식업/중식음식점,외식업,중식음식점,2018,3,망원1동중식음식점20183,0.3,0,232754970.7,12,0,12,0,0,0,0,2.7,4.1
망원2동,외식업/중식음식점,외식업,중식음식점,2018,3,망원2동중식음식점20183,0.3,0,130717917,10,0,10,0,1,0,10,2.4,4.6
망원1동,외식업/일식음식점,외식업,일식음식점,2018,3,망원1동일식음식점20183,,,438483631.7,22,0,22,3,4,13.6,18.2,1.9,2.9
망원2동,외식업/일식음식점,외식업,일식음식점,2018,3,망원2동일식음식점20183,,,34908309,4,0,4,0,1,0,25,1.3,2.3
망원1동,외식업/양식음식점,외식업,양식음식점,2018,3,망원1동양식음식점20183,,,333102220.7,34,0,34,3,0,8.8,0,1.5,2.2
망원2동,외식업/양식음식점,외식업,양식음식점,2018,3,망원2동양식음식점20183,,,50367684.33,11,0,11,2,2,18.2,18.2,1.9,2.8
망원1동,외식업/패스트푸드점,외식업,패스트푸드점,2018,3,망원1동패스트푸드점20183,1.23,1.53,210596649.7,15,8,7,0,0,0,0,3,5.3
망원2동,외식업/패스트푸드점,외식업,패스트푸드점,2018,3,망원2동패스트푸드점20183,1.23,1.53,35459231,9,4,5,2,0,22.2,0,2.2,4.2
망원1동,외식업/제과점,외식업,제과점,2018,3,망원1동제과점20183,,,146338167.7,21,4,17,1,0,4.8,0,1.8,3.6
망원2동,외식업/제과점,외식업,제과점,2018,3,망원2동제과점20183,,,136600942.7,15,3,12,0,0,0,0,2.9,4.2
망원1동,외식업/커피·음료,외식업,커피/음료,2018,3,망원1동커피/음료20183,0.93,7.14,66572744,69,4,65,7,4,10.1,5.8,1.7,2.4
망원2동,외식업/커피·음료,외식업,커피/음료,2018,3,망원2동커피/음료20183,0.93,7.14,164100681.3,41,4,37,3,4,7.3,9.8,1.7,2.1
망원1동,외식업/호프·간이주점,외식업,호프/간이주점,2018,3,망원1동호프/간이주점20183,1.4,0.43,21377560,46,4,42,1,1,2.2,2.2,2.3,4.1
망원2동,외식업/호프·간이주점,외식업,호프/간이주점,2018,3,망원2동호프/간이주점20183,1.4,0.43,2035466.667,29,5,24,2,5,6.9,17.2,2.3,4.1
망원1동,외식업/한식음식점,외식업,한식음식점,2018,4,망원1동한식음식점20184,0.55,4.17,2630122385,138,6,132,9,15,6.5,10.9,2.4,4.3
망원2동,외식업/한식음식점,외식업,한식음식점,2018,4,망원2동한식음식점20184,0.55,4.17,1447424646,99,8,91,4,3,4,3,2.3,4.2
망원1동,외식업/중식음식점,외식업,중식음식점,2018,4,망원1동중식음식점20184,0.27,0,179311936.7,12,0,12,1,1,8.3,8.3,2.7,4
망원2동,외식업/중식음식점,외식업,중식음식점,2018,4,망원2동중식음식점20184,0.27,0,143000947.3,11,0,11,1,0,9.1,0,2.4,4.5
망원1동,외식업/일식음식점,외식업,일식음식점,2018,4,망원1동일식음식점20184,,,445684756,24,0,24,4,2,16.7,8.3,1.8,2.8
망원2동,외식업/일식음식점,외식업,일식음식점,2018,4,망원2동일식음식점20184,,,22644320,5,0,5,1,0,20,0,1.3,2.3
망원1동,외식업/양식음식점,외식업,양식음식점,2018,4,망원1동양식음식점20184,,,297186435,37,0,37,4,1,10.8,2.7,1.6,2.2
망원2동,외식업/양식음식점,외식업,양식음식점,2018,4,망원2동양식음식점20184,,,56852909.33,10,0,10,0,1,0,10,2,2.9
망원1동,외식업/패스트푸드점,외식업,패스트푸드점,2018,4,망원1동패스트푸드점20184,0.73,1.13,285861918.7,15,8,7,1,1,6.7,6.7,3,5.2
망원2동,외식업/패스트푸드점,외식업,패스트푸드점,2018,4,망원2동패스트푸드점20184,0.73,1.13,35002193.33,7,3,4,0,2,0,28.6,2.3,4.3
망원1동,외식업/제과점,외식업,제과점,2018,4,망원1동제과점20184,1.8,1.2,132952208.7,22,4,18,2,1,9.1,4.5,1.9,3.5
망원2동,외식업/제과점,외식업,제과점,2018,4,망원2동제과점20184,1.8,1.2,171615621.3,15,3,12,1,1,6.7,6.7,2.6,4.2
망원1동,외식업/커피·음료,외식업,커피/음료,2018,4,망원1동커피/음료20184,1.26,8.16,35281639,75,5,70,8,2,10.7,2.7,1.7,2.4
망원2동,외식업/커피·음료,외식업,커피/음료,2018,4,망원2동커피/음료20184,1.26,8.16,29027825,43,4,39,3,1,7,2.3,1.8,2.1
망원1동,외식업/호프·간이주점,외식업,호프/간이주점,2018,4,망원1동호프/간이주점20184,0.9,0.4,32340076.67,45,4,41,2,3,4.4,6.7,2.2,4.1
망원2동,외식업/호프·간이주점,외식업,호프/간이주점,2018,4,망원2동호프/간이주점20184,0.9,0.4,4138666.667,28,5,23,0,1,0,3.6,2.2,4.1
망원1동,외식업/한식음식점,외식업,한식음식점,2019,1,망원1동한식음식점20191,0.42,3.5,4989600000,135,6,129,2,4,1.5,3,2.5,4.4
망원2동,외식업/한식음식점,외식업,한식음식점,2019,1,망원2동한식음식점20191,0.42,3.5,2696880000,102,10,92,4,3,3.9,2.9,2.3,4.3
망원1동,외식업/중식음식점,외식업,중식음식점,2019,1,망원1동중식음식점20191,0.2,0,401240000,14,0,14,2,0,14.3,0,2.2,4
망원2동,외식업/중식음식점,외식업,중식음식점,2019,1,망원2동중식음식점20191,0.2,0,345730000,11,0,11,0,0,0,0,2.6,4.6
망원1동,외식업/일식음식점,외식업,일식음식점,2019,1,망원1동일식음식점20191,,,1031500000,25,0,25,3,2,12,8,1.8,2.7
망원2동,외식업/일식음식점,외식업,일식음식점,2019,1,망원2동일식음식점20191,,,70150000,5,0,5,0,0,0,0,1.3,2.3
망원1동,외식업/양식음식점,외식업,양식음식점,2019,1,망원1동양식음식점20191,1.1,0.35,766440000,36,0,36,1,2,2.8,5.6,1.7,2.3
망원2동,외식업/양식음식점,외식업,양식음식점,2019,1,망원2동양식음식점20191,1.1,0.35,296340000,11,0,11,1,0,9.1,0,2,3.5
망원1동,외식업/패스트푸드점,외식업,패스트푸드점,2019,1,망원1동패스트푸드점20191,0.425,0.8,787040000,16,10,6,0,1,0,6.3,3.1,6.2
망원2동,외식업/패스트푸드점,외식업,패스트푸드점,2019,1,망원2동패스트푸드점20191,0.425,0.8,303120000,8,4,4,0,0,0,0,2.4,5
